rank,params_hash,params,snapshot_pnl_pct,snapshot_max_dd,snapshot_trades,tick_pnl_pct,validation_status,pnl_diff,report_path,validation_report_path
1,5eedc87ac74fd6afcdda0072c0794ac51fef4dbdb3ec547faba5636610af7f4d,"ema_fast=1;ema_slow=2;fastPeriod=1;slowPeriod=2",0.04507412,-0.00020051,30,0.04507412,passed,0,/home/deploy/quantlab-backend/services/strategyd/reports/eval_1769766486682_snapshot_report.json,/home/deploy/quantlab-backend/services/strategyd/validation_reports/validation_report_ff40af6a1ba5b045.json
2,811b1dfaef6a2749283071e83493dde8509830831226f4d3f4922e7b10b25140,"ema_fast=1;ema_slow=3;fastPeriod=1;slowPeriod=3",0.0398486,-0.0005,29,0.0398486,passed,0,/home/deploy/quantlab-backend/services/strategyd/reports/eval_1769766489101_snapshot_report.json,/home/deploy/quantlab-backend/services/strategyd/validation_reports/validation_report_93c9b140081e25d3.json
3,70e81bf621bb701f31bb7b749d3039ad55c163dd84800b4ce9d03bd3462b0146,"ema_fast=2;ema_slow=3;fastPeriod=2;slowPeriod=3",0.03544804,-0.00059987,29,0.03544804,passed,0,/home/deploy/quantlab-backend/services/strategyd/reports/eval_1769766492513_snapshot_report.json,/home/deploy/quantlab-backend/services/strategyd/validation_reports/validation_report_63a6239867d1f7ef.json
4,b0377bc0fccb88eca97788c789c16895aabf9ea09bbb36d5cea57d21105c0af8,"ema_fast=2;ema_slow=2;fastPeriod=2;slowPeriod=2",0,0,0,,not_required,,/home/deploy/quantlab-backend/services/strategyd/reports/eval_1769766491383_snapshot_report.json,
