exchange	symbol	date	stream	feature	delta_ms	h_ms	pressure_threshold	event_count	mean_abs_pressure	mean_signed_fwd_return_bps	t_stat	label
binance	adausdt	20260325	trade	signed_trade_volume_imbalance	100	500	0.200000	106410	0.980912473731507	-1.148915636322461	-148.766792233557396	ANTI_EDGE
binance	adausdt	20260325	trade	signed_trade_volume_imbalance	250	100	0.050000	106826	0.950234138180054	-0.994498693238122	-139.561235108562045	ANTI_EDGE
binance	adausdt	20260325	trade	signed_trade_volume_imbalance	250	100	0.100000	106273	0.954787376042049	-0.999637146584159	-140.092818445273565	ANTI_EDGE
binance	adausdt	20260325	trade	signed_trade_volume_imbalance	250	100	0.200000	105302	0.962216404462336	-1.009308681044679	-141.169030707331643	ANTI_EDGE
binance	adausdt	20260325	trade	signed_trade_volume_imbalance	250	250	0.050000	106826	0.950234138180054	-1.003818646080937	-133.560710183790491	ANTI_EDGE
binance	adausdt	20260325	trade	signed_trade_volume_imbalance	250	250	0.100000	106273	0.954787376042049	-1.008550527780628	-133.991850790609362	ANTI_EDGE
binance	adausdt	20260325	trade	signed_trade_volume_imbalance	250	250	0.200000	105302	0.962216404462336	-1.018621225093309	-135.000481228528486	ANTI_EDGE
binance	adausdt	20260325	trade	signed_trade_volume_imbalance	250	500	0.050000	106826	0.950234138180054	-1.005348248298771	-127.258894453120107	ANTI_EDGE
binance	adausdt	20260325	trade	signed_trade_volume_imbalance	250	500	0.100000	106273	0.954787376042049	-1.009948956629015	-127.646318359763868	ANTI_EDGE
binance	adausdt	20260325	trade	signed_trade_volume_imbalance	250	500	0.200000	105302	0.962216404462336	-1.019894091427865	-128.568306148078278	ANTI_EDGE
binance	adausdt	20260325	trade	signed_trade_volume_imbalance	500	100	0.050000	106541	0.919919091645765	-0.829721535696316	-113.244557102318595	ANTI_EDGE
binance	adausdt	20260325	trade	signed_trade_volume_imbalance	500	100	0.100000	105731	0.926395416315036	-0.835583901316224	-113.767750884267414	ANTI_EDGE
binance	adausdt	20260325	trade	signed_trade_volume_imbalance	500	100	0.200000	104160	0.938119828252520	-0.847979467291771	-114.911526435320781	ANTI_EDGE
binance	adausdt	20260325	trade	signed_trade_volume_imbalance	500	250	0.050000	106541	0.919919091645765	-0.837113213147612	-108.579875394705795	ANTI_EDGE
binance	adausdt	20260325	trade	signed_trade_volume_imbalance	500	250	0.100000	105731	0.926395416315036	-0.843174860636112	-109.084229600033908	ANTI_EDGE
binance	adausdt	20260325	trade	signed_trade_volume_imbalance	500	250	0.200000	104160	0.938119828252520	-0.855368258860143	-110.066836455821388	ANTI_EDGE
binance	adausdt	20260325	trade	signed_trade_volume_imbalance	500	500	0.050000	106541	0.919919091645765	-0.833950264359912	-103.049828482034840	ANTI_EDGE
binance	adausdt	20260325	trade	signed_trade_volume_imbalance	500	500	0.100000	105731	0.926395416315036	-0.840546274200042	-103.570533956849303	ANTI_EDGE
binance	adausdt	20260325	trade	signed_trade_volume_imbalance	500	500	0.200000	104160	0.938119828252520	-0.853368729253692	-104.588454391101692	ANTI_EDGE
binance	adausdt	20260326	trade	signed_trade_volume_imbalance	100	100	0.050000	118835	0.971344110637394	-1.205250248992290	-184.448892410685460	ANTI_EDGE
binance	adausdt	20260326	trade	signed_trade_volume_imbalance	100	100	0.100000	118503	0.973855291443101	-1.209098338594831	-185.051440051364608	ANTI_EDGE
binance	adausdt	20260326	trade	signed_trade_volume_imbalance	100	100	0.200000	117856	0.978376388837109	-1.214878239526756	-186.072215099820227	ANTI_EDGE
binance	adausdt	20260326	trade	signed_trade_volume_imbalance	100	250	0.050000	118835	0.971344110637394	-1.200702783389339	-174.989560406526834	ANTI_EDGE
binance	adausdt	20260326	trade	signed_trade_volume_imbalance	100	250	0.100000	118503	0.973855291443101	-1.204663323640005	-175.558027535403738	ANTI_EDGE
binance	adausdt	20260326	trade	signed_trade_volume_imbalance	100	250	0.200000	117856	0.978376388837109	-1.210249876464894	-176.368677338260824	ANTI_EDGE
binance	adausdt	20260326	trade	signed_trade_volume_imbalance	100	500	0.050000	118834	0.971343869495218	-1.204875909670970	-166.013175501504037	ANTI_EDGE
binance	adausdt	20260326	trade	signed_trade_volume_imbalance	100	500	0.100000	118502	0.973855070816372	-1.209040179908270	-166.641577607665994	ANTI_EDGE
binance	adausdt	20260326	trade	signed_trade_volume_imbalance	100	500	0.200000	117855	0.978376205360708	-1.215022288261172	-167.607361316533144	ANTI_EDGE
binance	adausdt	20260326	trade	signed_trade_volume_imbalance	250	100	0.050000	118482	0.943381618418298	-1.054588360254725	-155.944027098249222	ANTI_EDGE
binance	adausdt	20260326	trade	signed_trade_volume_imbalance	250	100	0.100000	117800	0.948408805505264	-1.060731918848786	-156.718213069951588	ANTI_EDGE
binance	adausdt	20260326	trade	signed_trade_volume_imbalance	250	100	0.200000	116517	0.957216625458218	-1.070588451081405	-157.945647567471951	ANTI_EDGE
binance	adausdt	20260326	trade	signed_trade_volume_imbalance	250	250	0.050000	118482	0.943381618418298	-1.047236580516645	-147.906589708148516	ANTI_EDGE
binance	adausdt	20260326	trade	signed_trade_volume_imbalance	250	250	0.100000	117800	0.948408805505264	-1.052962301042980	-148.679095466553946	ANTI_EDGE
binance	adausdt	20260326	trade	signed_trade_volume_imbalance	250	250	0.200000	116517	0.957216625458218	-1.063366318179685	-149.943913002754471	ANTI_EDGE
binance	adausdt	20260326	trade	signed_trade_volume_imbalance	250	500	0.050000	118481	0.943381140549428	-1.050375969719898	-140.647589112259084	ANTI_EDGE
binance	adausdt	20260326	trade	signed_trade_volume_imbalance	250	500	0.100000	117799	0.948408367545735	-1.056552995353342	-141.431204139683700	ANTI_EDGE
binance	adausdt	20260326	trade	signed_trade_volume_imbalance	250	500	0.200000	116516	0.957216258269381	-1.066398665782493	-142.517155735855567	ANTI_EDGE
binance	adausdt	20260326	trade	signed_trade_volume_imbalance	500	100	0.050000	118143	0.908557180207395	-0.872820001191764	-124.948114370978971	ANTI_EDGE
binance	adausdt	20260326	trade	signed_trade_volume_imbalance	500	100	0.100000	117054	0.916302363966425	-0.881746773800707	-125.935887024834244	ANTI_EDGE
binance	adausdt	20260326	trade	signed_trade_volume_imbalance	500	100	0.200000	115019	0.929887068880353	-0.896557314075788	-127.413910399649836	ANTI_EDGE
binance	adausdt	20260326	trade	signed_trade_volume_imbalance	500	250	0.050000	118143	0.908557180207395	-0.866896314999551	-118.881178753793023	ANTI_EDGE
binance	adausdt	20260326	trade	signed_trade_volume_imbalance	500	250	0.100000	117054	0.916302363966425	-0.876260441267402	-119.905582998108997	ANTI_EDGE
binance	adausdt	20260326	trade	signed_trade_volume_imbalance	500	250	0.200000	115019	0.929887068880353	-0.891038284300054	-121.347192557220282	ANTI_EDGE
binance	adausdt	20260326	trade	signed_trade_volume_imbalance	500	500	0.050000	118142	0.908556406199677	-0.863741733822309	-112.552177517023267	ANTI_EDGE
binance	adausdt	20260326	trade	signed_trade_volume_imbalance	500	500	0.100000	117053	0.916301648925922	-0.871810786957608	-113.320491246390176	ANTI_EDGE
binance	adausdt	20260326	trade	signed_trade_volume_imbalance	500	500	0.200000	115018	0.929886459298104	-0.886179776941841	-114.687373033525262	ANTI_EDGE
binance	adausdt	20260327	trade	signed_trade_volume_imbalance	100	100	0.050000	108201	0.971623232268717	-1.274163290692717	-174.361847618838169	ANTI_EDGE
binance	adausdt	20260327	trade	signed_trade_volume_imbalance	100	100	0.100000	107915	0.973997660360593	-1.277165519546668	-174.765213947612352	ANTI_EDGE
binance	adausdt	20260327	trade	signed_trade_volume_imbalance	100	100	0.200000	107315	0.978618094400045	-1.285247933010685	-175.976323655534230	ANTI_EDGE
binance	adausdt	20260327	trade	signed_trade_volume_imbalance	100	250	0.050000	108201	0.971623232268717	-1.272568023542920	-164.198177705749742	ANTI_EDGE
binance	adausdt	20260327	trade	signed_trade_volume_imbalance	100	250	0.100000	107915	0.973997660360593	-1.275451495947295	-164.586740729911980	ANTI_EDGE
binance	adausdt	20260327	trade	signed_trade_volume_imbalance	100	250	0.200000	107315	0.978618094400045	-1.282619372829932	-165.567016806835255	ANTI_EDGE
binance	adausdt	20260327	trade	signed_trade_volume_imbalance	100	500	0.050000	108201	0.971623232268717	-1.269089856228352	-151.965224001708094	ANTI_EDGE
binance	adausdt	20260327	trade	signed_trade_volume_imbalance	100	500	0.100000	107915	0.973997660360593	-1.271523451259592	-152.322200335206531	ANTI_EDGE
binance	adausdt	20260327	trade	signed_trade_volume_imbalance	100	500	0.200000	107315	0.978618094400045	-1.278024853118398	-153.148790715279432	ANTI_EDGE
binance	adausdt	20260327	trade	signed_trade_volume_imbalance	250	100	0.050000	107771	0.943492598015556	-1.133510977725041	-150.478488283319649	ANTI_EDGE
binance	adausdt	20260327	trade	signed_trade_volume_imbalance	250	100	0.100000	107176	0.948307608955792	-1.140329025738865	-151.343734396596773	ANTI_EDGE
binance	adausdt	20260327	trade	signed_trade_volume_imbalance	250	100	0.200000	105988	0.957274729974412	-1.153263360986706	-152.938789047020492	ANTI_EDGE
binance	adausdt	20260327	trade	signed_trade_volume_imbalance	250	250	0.050000	107771	0.943492598015556	-1.130146895710894	-141.884283384122398	ANTI_EDGE
binance	adausdt	20260327	trade	signed_trade_volume_imbalance	250	250	0.100000	107176	0.948307608955792	-1.136719343116708	-142.682020186197178	ANTI_EDGE
binance	adausdt	20260327	trade	signed_trade_volume_imbalance	250	250	0.200000	105988	0.957274729974412	-1.148319422643555	-144.079511149757508	ANTI_EDGE
binance	adausdt	20260327	trade	signed_trade_volume_imbalance	250	500	0.050000	107771	0.943492598015556	-1.122198544182437	-131.140025810424959	ANTI_EDGE
binance	adausdt	20260327	trade	signed_trade_volume_imbalance	250	500	0.100000	107176	0.948307608955792	-1.127711736578176	-131.719886225388933	ANTI_EDGE
binance	adausdt	20260327	trade	signed_trade_volume_imbalance	250	500	0.200000	105988	0.957274729974412	-1.138814884406138	-132.865607021313537	ANTI_EDGE
binance	adausdt	20260327	trade	signed_trade_volume_imbalance	500	100	0.050000	107409	0.908306525327942	-0.951350592179010	-122.402514683224638	ANTI_EDGE
binance	adausdt	20260327	trade	signed_trade_volume_imbalance	500	100	0.100000	106409	0.916136896163982	-0.960999626008776	-123.468772841737959	ANTI_EDGE
binance	adausdt	20260327	trade	signed_trade_volume_imbalance	500	100	0.200000	104524	0.929971120116643	-0.979087379104156	-125.393908241091822	ANTI_EDGE
binance	adausdt	20260327	trade	signed_trade_volume_imbalance	500	250	0.050000	107409	0.908306525327942	-0.940561239034205	-114.657281339067751	ANTI_EDGE
binance	adausdt	20260327	trade	signed_trade_volume_imbalance	500	250	0.100000	106409	0.916136896163982	-0.951238540620933	-115.850095948952656	ANTI_EDGE
binance	adausdt	20260327	trade	signed_trade_volume_imbalance	500	250	0.200000	104524	0.929971120116643	-0.967407616788806	-117.377473549029290	ANTI_EDGE
binance	adausdt	20260327	trade	signed_trade_volume_imbalance	500	500	0.050000	107409	0.908306525327942	-0.928800526992542	-105.878592048195372	ANTI_EDGE
binance	adausdt	20260327	trade	signed_trade_volume_imbalance	500	500	0.100000	106409	0.916136896163982	-0.938601697551151	-106.965739751772915	ANTI_EDGE
binance	adausdt	20260327	trade	signed_trade_volume_imbalance	500	500	0.200000	104524	0.929971120116643	-0.954643880958904	-108.367910657437889	ANTI_EDGE
binance	adausdt	20260328	trade	signed_trade_volume_imbalance	100	100	0.050000	97270	0.975480001388524	-1.422678055311432	-191.231700915782739	ANTI_EDGE
binance	adausdt	20260328	trade	signed_trade_volume_imbalance	100	100	0.100000	97045	0.977568140282976	-1.426553357122128	-191.809454928362157	ANTI_EDGE
binance	adausdt	20260328	trade	signed_trade_volume_imbalance	100	100	0.200000	96541	0.981919556516391	-1.434074571421613	-192.849885164044053	ANTI_EDGE
binance	adausdt	20260328	trade	signed_trade_volume_imbalance	100	250	0.050000	97270	0.975480001388524	-1.414916412209989	-183.355345590265784	ANTI_EDGE
binance	adausdt	20260328	trade	signed_trade_volume_imbalance	100	250	0.100000	97045	0.977568140282976	-1.419305066905424	-184.119879221307571	ANTI_EDGE
binance	adausdt	20260328	trade	signed_trade_volume_imbalance	100	250	0.200000	96541	0.981919556516391	-1.427062675183503	-185.406027866137947	ANTI_EDGE
binance	adausdt	20260328	trade	signed_trade_volume_imbalance	100	500	0.050000	97270	0.975480001388524	-1.410987146710919	-174.439567406326375	ANTI_EDGE
binance	adausdt	20260328	trade	signed_trade_volume_imbalance	100	500	0.100000	97045	0.977568140282976	-1.414912442836325	-175.052227687970998	ANTI_EDGE
binance	adausdt	20260328	trade	signed_trade_volume_imbalance	100	500	0.200000	96541	0.981919556516391	-1.423190086439951	-176.186773880475442	ANTI_EDGE
binance	adausdt	20260328	trade	signed_trade_volume_imbalance	250	100	0.050000	96883	0.947832742959860	-1.274768139773128	-165.060946906569626	ANTI_EDGE
binance	adausdt	20260328	trade	signed_trade_volume_imbalance	250	100	0.100000	96388	0.952311706484872	-1.282022162670245	-165.919267940624536	ANTI_EDGE
binance	adausdt	20260328	trade	signed_trade_volume_imbalance	250	100	0.200000	95279	0.961691837513265	-1.296261672943001	-167.606106068344673	ANTI_EDGE
binance	adausdt	20260328	trade	signed_trade_volume_imbalance	250	250	0.050000	96883	0.947832742959860	-1.266244154503048	-158.450718719036502	ANTI_EDGE
binance	adausdt	20260328	trade	signed_trade_volume_imbalance	250	250	0.100000	96388	0.952311706484872	-1.273657440082204	-159.280846386380858	ANTI_EDGE
binance	adausdt	20260328	trade	signed_trade_volume_imbalance	250	250	0.200000	95279	0.961691837513265	-1.287704602128648	-160.978250512096423	ANTI_EDGE
binance	adausdt	20260328	trade	signed_trade_volume_imbalance	250	500	0.050000	96883	0.947832742959860	-1.264549010449151	-151.494473780035435	ANTI_EDGE
binance	adausdt	20260328	trade	signed_trade_volume_imbalance	250	500	0.100000	96388	0.952311706484872	-1.271254787749323	-152.207450035417651	ANTI_EDGE
binance	adausdt	20260328	trade	signed_trade_volume_imbalance	250	500	0.200000	95279	0.961691837513265	-1.286124260143809	-154.092495450062586	ANTI_EDGE
binance	adausdt	20260328	trade	signed_trade_volume_imbalance	500	100	0.050000	96521	0.912404701468669	-1.095454444510578	-136.655578655570054	ANTI_EDGE
binance	adausdt	20260328	trade	signed_trade_volume_imbalance	500	100	0.100000	95673	0.919821133507020	-1.105385281406345	-137.643843712096924	ANTI_EDGE
binance	adausdt	20260328	trade	signed_trade_volume_imbalance	500	100	0.200000	93868	0.934665375044379	-1.124974636823875	-139.499175611652674	ANTI_EDGE
binance	adausdt	20260328	trade	signed_trade_volume_imbalance	500	250	0.050000	96521	0.912404701468669	-1.083155274579530	-130.850516847898973	ANTI_EDGE
binance	adausdt	20260328	trade	signed_trade_volume_imbalance	500	250	0.100000	95673	0.919821133507020	-1.093345355234218	-131.855246366816601	ANTI_EDGE
binance	adausdt	20260328	trade	signed_trade_volume_imbalance	500	250	0.200000	93868	0.934665375044379	-1.113117048390115	-133.697500548693142	ANTI_EDGE
binance	adausdt	20260328	trade	signed_trade_volume_imbalance	500	500	0.050000	96521	0.912404701468669	-1.085321602513553	-125.992413199670409	ANTI_EDGE
binance	adausdt	20260328	trade	signed_trade_volume_imbalance	500	500	0.100000	95673	0.919821133507020	-1.095461111548794	-127.044728459738650	ANTI_EDGE
binance	adausdt	20260328	trade	signed_trade_volume_imbalance	500	500	0.200000	93868	0.934665375044379	-1.117156523948684	-129.258055134951775	ANTI_EDGE
binance	avaxusdt	20260324	trade	signed_trade_volume_imbalance	100	100	0.050000	96593	0.975899962954333	0.124915939453921	26.716964964021933	NO_EDGE
binance	avaxusdt	20260324	trade	signed_trade_volume_imbalance	100	100	0.100000	96441	0.977323059098941	0.125093539940725	26.951027668659528	NO_EDGE
binance	avaxusdt	20260324	trade	signed_trade_volume_imbalance	100	100	0.200000	96050	0.980696682948210	0.127164810111302	27.915557905934797	NO_EDGE
binance	avaxusdt	20260324	trade	signed_trade_volume_imbalance	100	250	0.050000	96593	0.975899962954333	0.189861795523849	38.499142921415462	NO_EDGE
binance	avaxusdt	20260324	trade	signed_trade_volume_imbalance	100	250	0.100000	96441	0.977323059098941	0.189789089403967	38.576799364697273	NO_EDGE
binance	avaxusdt	20260324	trade	signed_trade_volume_imbalance	100	250	0.200000	96050	0.980696682948210	0.190928507041597	39.312034238107913	NO_EDGE
binance	avaxusdt	20260324	trade	signed_trade_volume_imbalance	100	500	0.050000	96593	0.975899962954333	0.208979644214552	38.170349814884943	DIRECTIONAL
binance	avaxusdt	20260324	trade	signed_trade_volume_imbalance	100	500	0.100000	96441	0.977323059098941	0.208504382227792	38.194139630896373	DIRECTIONAL
binance	avaxusdt	20260324	trade	signed_trade_volume_imbalance	100	500	0.200000	96050	0.980696682948210	0.207606419785777	38.367464014955601	DIRECTIONAL
binance	avaxusdt	20260324	trade	signed_trade_volume_imbalance	250	100	0.050000	96187	0.954874101826258	0.147633838974863	31.547893957180023	NO_EDGE
binance	avaxusdt	20260324	trade	signed_trade_volume_imbalance	250	100	0.100000	95896	0.957537621185698	0.147455162464738	31.805201510228734	NO_EDGE
binance	avaxusdt	20260324	trade	signed_trade_volume_imbalance	250	100	0.200000	95193	0.963538600763957	0.144324926138547	32.331129488341183	NO_EDGE
