rank	class_rank	review_class	class_priority	score	research_score	shadow_score	v0_rank	v0_score	decision_tier	pack_id	pack_path	selected_family_ids	family_roles	translation_statuses	runtime_binding_statuses	trade_surface_bucket	shadow_tradeability_classes	hard_guard_reason	shadow_evidence_reason	det_ratio	det_pass	det_supported	det_skipped	max_rss_kb	max_elapsed_sec	context_flags	candidate_status	shadow_run_count	fill_backed_run_count	profitability_interpretable_run_count	no_fill_activity_count	fill_backed_open_count	fill_backed_flat_count	closed_cycle_count	realized_pnl_sum	latest_trade_closed_at	last_shadow_observed_at	latest_pnl_interpretation	recent_pnl_bias	outcome_class	outcome_attention_flag	watch_status	horizon_evidence_bucket	score_explanation
11	10	UNSEEN	3	58.561120	58.561120	0.000000	58	58.561120	PROMOTE	multi-hypothesis-phase5-bighunt-binance-trade-20260305..20260305-20260308_171224-e80ab529-t1__FULLSCAN_MAJOR__b3819e896c3ea4530fe76b96b61b8c6d7355629b314dd7d2bc300dea17e82025	/home/deploy/quantlab-evidence-archive/20260308_slim/multi-hypothesis-phase5-bighunt-binance-trade-20260305..20260305-20260308_171224-e80ab529-t1__FULLSCAN_MAJOR	momentum_v1	PRIMARY_DIRECTIONAL	NOT_TRANSLATABLE_YET,TRANSLATABLE	BOUND_SHADOW_RUNNABLE,UNBOUND_TRANSLATION_REJECTED	RUNNABLE_DIRECTIONAL	DIRECTIONAL,UNBOUND	BOUND_DIRECTIONAL_RUNTIME	NO_SHADOW_HISTORY	1.000000	35	35	7	188776.0	29.7	MARK=WARN;FUNDING=PASS;OI=PASS	NEW	0	0	0	0	0	0	0	0.000000			UNKNOWN	NO_HISTORY	NONE	false	INACTIVE	NO_SHADOW_HISTORY	class=UNSEEN;surface=RUNNABLE_DIRECTIONAL;reason=NO_SHADOW_HISTORY;research=58.561120;shadow=0.000000;runs=0;fills=0;trades=0;pnl=0.000000;outcome=NONE
12	11	UNSEEN	3	58.491887	58.491887	0.000000	60	58.491887	PROMOTE	multi-hypothesis-phase5-bighunt-binance-trade-20260213..20260213-20260307_192450-53422719-t1__FULLSCAN_MAJOR__995c8ea3ef2c1772c0b95cc3a745ab8d3052d0fe0677cb33d8e26ccdffbae0f8	/home/deploy/quantlab-evidence-archive/20260307_slim/multi-hypothesis-phase5-bighunt-binance-trade-20260213..20260213-20260307_192450-53422719-t1__FULLSCAN_MAJOR	momentum_v1	PRIMARY_DIRECTIONAL	NOT_TRANSLATABLE_YET,TRANSLATABLE	BOUND_SHADOW_RUNNABLE,UNBOUND_TRANSLATION_REJECTED	RUNNABLE_DIRECTIONAL	DIRECTIONAL,UNBOUND	BOUND_DIRECTIONAL_RUNTIME	NO_SHADOW_HISTORY	1.000000	35	35	7	198156.0	31.04	MARK=WARN;FUNDING=PASS;OI=PASS	NEW	0	0	0	0	0	0	0	0.000000			UNKNOWN	NO_HISTORY	NONE	false	INACTIVE	NO_SHADOW_HISTORY	class=UNSEEN;surface=RUNNABLE_DIRECTIONAL;reason=NO_SHADOW_HISTORY;research=58.491887;shadow=0.000000;runs=0;fills=0;trades=0;pnl=0.000000;outcome=NONE
13	12	UNSEEN	3	58.470367	58.470367	0.000000	61	58.470367	PROMOTE	multi-hypothesis-phase5-bighunt-binance-trade-20260303..20260303-20260308_000514-e3a11c5a-t1__FULLSCAN_MAJOR__deb9f9a03c5cdc63fc0260d0831f4ff7d2ac01630561291eee1683dfff09ad8d	/home/deploy/quantlab-evidence-archive/20260308_slim/multi-hypothesis-phase5-bighunt-binance-trade-20260303..20260303-20260308_000514-e3a11c5a-t1__FULLSCAN_MAJOR	momentum_v1	PRIMARY_DIRECTIONAL	NOT_TRANSLATABLE_YET,TRANSLATABLE	BOUND_SHADOW_RUNNABLE,UNBOUND_TRANSLATION_REJECTED	RUNNABLE_DIRECTIONAL	DIRECTIONAL,UNBOUND	BOUND_DIRECTIONAL_RUNTIME	NO_SHADOW_HISTORY	1.000000	35	35	7	199760.0	31.85	MARK=WARN;FUNDING=PASS;OI=PASS	NEW	0	0	0	0	0	0	0	0.000000			UNKNOWN	NO_HISTORY	NONE	false	INACTIVE	NO_SHADOW_HISTORY	class=UNSEEN;surface=RUNNABLE_DIRECTIONAL;reason=NO_SHADOW_HISTORY;research=58.470367;shadow=0.000000;runs=0;fills=0;trades=0;pnl=0.000000;outcome=NONE
14	13	UNSEEN	3	58.467100	58.467100	0.000000	62	58.467100	PROMOTE	multi-hypothesis-phase5-bighunt-binance-trade-20260223..20260223-20260307_220628-17c80b3e-t1__FULLSCAN_MAJOR__2d486b31a872d4f372bab60038a269ffcfc08d2ab0d678960fa63e52bbd61fa2	/home/deploy/quantlab-evidence-archive/20260307_slim/multi-hypothesis-phase5-bighunt-binance-trade-20260223..20260223-20260307_220628-17c80b3e-t1__FULLSCAN_MAJOR	momentum_v1	PRIMARY_DIRECTIONAL	NOT_TRANSLATABLE_YET,TRANSLATABLE	BOUND_SHADOW_RUNNABLE,UNBOUND_TRANSLATION_REJECTED	RUNNABLE_DIRECTIONAL	DIRECTIONAL,UNBOUND	BOUND_DIRECTIONAL_RUNTIME	NO_SHADOW_HISTORY	1.000000	35	35	7	199580.0	32.1	MARK=WARN;FUNDING=PASS;OI=PASS	NEW	0	0	0	0	0	0	0	0.000000			UNKNOWN	NO_HISTORY	NONE	false	INACTIVE	NO_SHADOW_HISTORY	class=UNSEEN;surface=RUNNABLE_DIRECTIONAL;reason=NO_SHADOW_HISTORY;research=58.467100;shadow=0.000000;runs=0;fills=0;trades=0;pnl=0.000000;outcome=NONE
15	14	UNSEEN	3	58.443460	58.443460	0.000000	63	58.443460	PROMOTE	multi-hypothesis-phase5-day-benchmark-binance-trade-20260303-20260306_122929__FULLSCAN_MAJOR__ddc202fbb2ed6b765494fd68ed2aa0d9d3dd4a0049c29a8b5e9c9788201677f4	/home/deploy/quantlab-evidence-archive/20260306_slim/multi-hypothesis-phase5-day-benchmark-binance-trade-20260303-20260306_122929__FULLSCAN_MAJOR	momentum_v1	PRIMARY_DIRECTIONAL	NOT_TRANSLATABLE_YET,TRANSLATABLE	BOUND_SHADOW_RUNNABLE,UNBOUND_TRANSLATION_REJECTED	RUNNABLE_DIRECTIONAL	DIRECTIONAL,UNBOUND	BOUND_DIRECTIONAL_RUNTIME	NO_SHADOW_HISTORY	1.000000	35	35	7	200808.0	33.15	MARK=WARN;FUNDING=PASS;OI=PASS	NEW	0	0	0	0	0	0	0	0.000000			UNKNOWN	NO_HISTORY	NONE	false	INACTIVE	NO_SHADOW_HISTORY	class=UNSEEN;surface=RUNNABLE_DIRECTIONAL;reason=NO_SHADOW_HISTORY;research=58.443460;shadow=0.000000;runs=0;fills=0;trades=0;pnl=0.000000;outcome=NONE
16	15	UNSEEN	3	58.424753	58.424753	0.000000	64	58.424753	PROMOTE	multi-hypothesis-phase5-bighunt-binance-trade-20260228..20260228-20260307_232959-34a76040-t1__FULLSCAN_MAJOR__87b8d5ed17555a079876a4479f8f07a1a7b6617cf67e5c94d480e5f7ff7da536	/home/deploy/quantlab-evidence-archive/20260307_slim/multi-hypothesis-phase5-bighunt-binance-trade-20260228..20260228-20260307_232959-34a76040-t1__FULLSCAN_MAJOR	momentum_v1	PRIMARY_DIRECTIONAL	NOT_TRANSLATABLE_YET,TRANSLATABLE	BOUND_SHADOW_RUNNABLE,UNBOUND_TRANSLATION_REJECTED	RUNNABLE_DIRECTIONAL	DIRECTIONAL,UNBOUND	BOUND_DIRECTIONAL_RUNTIME	NO_SHADOW_HISTORY	1.000000	35	35	7	207316.0	32.32	MARK=WARN;FUNDING=PASS;OI=PASS	NEW	0	0	0	0	0	0	0	0.000000			UNKNOWN	NO_HISTORY	NONE	false	INACTIVE	NO_SHADOW_HISTORY	class=UNSEEN;surface=RUNNABLE_DIRECTIONAL;reason=NO_SHADOW_HISTORY;research=58.424753;shadow=0.000000;runs=0;fills=0;trades=0;pnl=0.000000;outcome=NONE
17	16	UNSEEN	3	58.316253	58.316253	0.000000	65	58.316253	PROMOTE	multi-hypothesis-phase5-bighunt-binance-trade-20260302..20260302-20260307_234707-8623c97c-t1__FULLSCAN_MAJOR__f879ccaa2446050bd3937a9c86272c805f17c11a2f8142d4fa3276ed43df8b5b	/home/deploy/quantlab-evidence-archive/20260307_slim/multi-hypothesis-phase5-bighunt-binance-trade-20260302..20260302-20260307_234707-8623c97c-t1__FULLSCAN_MAJOR	momentum_v1	PRIMARY_DIRECTIONAL	NOT_TRANSLATABLE_YET,TRANSLATABLE	BOUND_SHADOW_RUNNABLE,UNBOUND_TRANSLATION_REJECTED	RUNNABLE_DIRECTIONAL	DIRECTIONAL,UNBOUND	BOUND_DIRECTIONAL_RUNTIME	NO_SHADOW_HISTORY	1.000000	35	35	7	216016.0	36.22	MARK=WARN;FUNDING=PASS;OI=PASS	NEW	0	0	0	0	0	0	0	0.000000			UNKNOWN	NO_HISTORY	NONE	false	INACTIVE	NO_SHADOW_HISTORY	class=UNSEEN;surface=RUNNABLE_DIRECTIONAL;reason=NO_SHADOW_HISTORY;research=58.316253;shadow=0.000000;runs=0;fills=0;trades=0;pnl=0.000000;outcome=NONE
18	17	UNSEEN	3	58.283840	58.283840	0.000000	66	58.283840	PROMOTE	multi-hypothesis-phase5-bighunt-binance-trade-20260304..20260304-20260308_002329-ec64c4b0-t1__FULLSCAN_MAJOR__63877cedd31fa1ec9ad237bf5a783416f7b0b0dfa2c4aa58bda5cab4d164ba12	/home/deploy/quantlab-evidence-archive/20260308_slim/multi-hypothesis-phase5-bighunt-binance-trade-20260304..20260304-20260308_002329-ec64c4b0-t1__FULLSCAN_MAJOR	momentum_v1	PRIMARY_DIRECTIONAL	NOT_TRANSLATABLE_YET,TRANSLATABLE	BOUND_SHADOW_RUNNABLE,UNBOUND_TRANSLATION_REJECTED	RUNNABLE_DIRECTIONAL	DIRECTIONAL,UNBOUND	BOUND_DIRECTIONAL_RUNTIME	NO_SHADOW_HISTORY	1.000000	35	35	7	220332.0	36.87	MARK=WARN;FUNDING=PASS;OI=PASS	NEW	0	0	0	0	0	0	0	0.000000			UNKNOWN	NO_HISTORY	NONE	false	INACTIVE	NO_SHADOW_HISTORY	class=UNSEEN;surface=RUNNABLE_DIRECTIONAL;reason=NO_SHADOW_HISTORY;research=58.283840;shadow=0.000000;runs=0;fills=0;trades=0;pnl=0.000000;outcome=NONE
19	18	UNSEEN	3	58.016800	58.016800	0.000000	67	58.016800	PROMOTE	multi-hypothesis-phase5-bighunt-binance-trade-20260215..20260215-20260307_195556-31382651-t1__FULLSCAN_MAJOR__76b244b04ef9440e1fc198529b82a1d0ca05c0d7016b47273a966401ba93737b	/home/deploy/quantlab-evidence-archive/20260307_slim/multi-hypothesis-phase5-bighunt-binance-trade-20260215..20260215-20260307_195556-31382651-t1__FULLSCAN_MAJOR	momentum_v1	PRIMARY_DIRECTIONAL	NOT_TRANSLATABLE_YET,TRANSLATABLE	BOUND_SHADOW_RUNNABLE,UNBOUND_TRANSLATION_REJECTED	RUNNABLE_DIRECTIONAL	DIRECTIONAL,UNBOUND	BOUND_DIRECTIONAL_RUNTIME	NO_SHADOW_HISTORY	1.000000	35	35	7	247440.0	44.76	MARK=WARN;FUNDING=PASS;OI=PASS	NEW	0	0	0	0	0	0	0	0.000000			UNKNOWN	NO_HISTORY	NONE	false	INACTIVE	NO_SHADOW_HISTORY	class=UNSEEN;surface=RUNNABLE_DIRECTIONAL;reason=NO_SHADOW_HISTORY;research=58.016800;shadow=0.000000;runs=0;fills=0;trades=0;pnl=0.000000;outcome=NONE
20	19	UNSEEN	3	57.826040	57.826040	0.000000	68	57.826040	PROMOTE	multi-hypothesis-phase5-bighunt-binance-trade-20260222..20260222-20260307_214855-2259d678-t1__FULLSCAN_MAJOR__f6f77334020eed5b4805edea864954eb2db900003b09fe7e815c828f34c772cd	/home/deploy/quantlab-evidence-archive/20260307_slim/multi-hypothesis-phase5-bighunt-binance-trade-20260222..20260222-20260307_214855-2259d678-t1__FULLSCAN_MAJOR	momentum_v1	PRIMARY_DIRECTIONAL	NOT_TRANSLATABLE_YET,TRANSLATABLE	BOUND_SHADOW_RUNNABLE,UNBOUND_TRANSLATION_REJECTED	RUNNABLE_DIRECTIONAL	DIRECTIONAL,UNBOUND	BOUND_DIRECTIONAL_RUNTIME	NO_SHADOW_HISTORY	1.000000	45	45	9	269192.0	49.68	MARK=WARN;FUNDING=PASS;OI=PASS	NEW	0	0	0	0	0	0	0	0.000000			UNKNOWN	NO_HISTORY	NONE	false	INACTIVE	NO_SHADOW_HISTORY	class=UNSEEN;surface=RUNNABLE_DIRECTIONAL;reason=NO_SHADOW_HISTORY;research=57.826040;shadow=0.000000;runs=0;fills=0;trades=0;pnl=0.000000;outcome=NONE
